time,open,high,low,close,HH 2/2,LH 2/2,HL 2/2,LL 2/2,HH 5/5,LH 5/5,HL 5/5,LL 5/5,ВХОД,Запрет структуры,Запрет (буква),Против тренда,Против тренда (буква),Слом,Слом (буква),Заморозка,Заморозка (буква),Бол.свеча,Бол.свеча (буква),Нет RR,Нет RR (буква),Стоп-неделя,Фильтр БОК+LONG,Прочее
2026-08-20T12:45:00+03:00,4489.235,4489.235,4485.165,4485.61,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:50:00+03:00,4485.64,4486.4,4482.145,4484.085,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:55:00+03:00,4484.07,4484.855,4482.005,4482.735,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-08-20T13:00:00+03:00,4482.75,4486.215,4480.865,4485.575,,,,4480.865,,,,4480.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:05:00+03:00,4485.56,4489.945,4485.48,4489.71,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:10:00+03:00,4489.705,4491.46,4488.305,4490.635,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-08-20T13:15:00+03:00,4490.71,4491.815,4490.095,4490.655,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:20:00+03:00,4490.62,4490.905,4486.495,4489.05,,,4486.495,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:25:00+03:00,4489.065,4494.375,4488.435,4494.025,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:30:00+03:00,4493.985,4495.145,4492.6,4493.195,4495.145,,,,4495.145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:35:00+03:00,4493.19,4494.735,4490.07,4490.535,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:40:00+03:00,4490.445,4491.29,4490.165,4491.27,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:45:00+03:00,4491.28,4491.37,4488.74,4490.26,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:50:00+03:00,4490.295,4490.855,4487.575,4488.055,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T13:55:00+03:00,4487.99,4490.545,4487.54,4490.18,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T14:00:00+03:00,4490.21,4491.34,4487.675,4488.385,,4491.34,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
