layer,dir,tStart,start,end,dur,born,prov,pStart,pEnd,imp,moveImp,mfeImp,maxKN,knees,mud,zeroBar,deathLvl
2/2,-1,2026-07-07T13:00,11159,11160,1,пауза,False,4135.83,4157.175,22.69500000000062,-0.9405155320555044,0.20378938092090212,2,2,0,11147,4139.395
2/2,1,2026-07-07T18:00,11164,11168,4,пауза,False,4139.055,4114.215,60.710000000000036,-0.40915829352660404,0.274172294514899,2,1,0,11158,4135.945
2/2,-1,2026-07-08T11:00,11180,11201,21,рывок,False,4057.005,4108.04,34.524999999999636,-1.4782041998551887,1.019261404779158,5,5,1,11162,4086.445
2/2,-1,2026-07-10T17:00,11232,11266,34,рывок,False,4092.94,4012.515,26.199999999999818,3.0696564885496467,4.175381679389341,4,10,2,11221,4006.245
2/2,1,2026-07-14T14:00,11275,11291,16,пауза,False,4031.185,4033.245,20.324999999999818,0.10135301353013353,3.584993849938543,4,4,1,11264,4042.885
2/2,1,2026-07-15T21:00,11305,11322,17,пауза,False,4059.29,3992.54,47.23000000000002,-1.413296633495659,0.47067541816641983,3,3,2,11295,4026.945
2/2,-1,2026-07-16T18:00,11325,11348,23,рывок,True,4007.125,4019.2,69.55999999999995,-0.1735911443358227,0.6803479010925798,5,7,1,11305,4007.295
2/2,1,2026-07-20T05:00,11358,11432,74,пауза,False,4022.015,4095.47,41.20499999999993,1.7826720058245373,3.497512437810957,5,14,7,11346,4112.315
2/2,-1,2026-07-24T03:00,11448,11456,8,рывок,False,4049.88,4057.65,11.25500000000011,-0.6903598400710712,2.4717903154153613,3,2,1,11417,4051.44
2/2,1,2026-07-24T18:00,11463,11484,21,пауза,False,4077.535,4074.445,19.215000000000146,-0.1608118657298812,2.011449388498582,5,6,1,11453,4084.49
2/2,-1,2026-07-27T21:00,11489,11509,20,пауза,False,4078.005,4046.13,28.690000000000055,1.1110142906936193,2.30881840362496,4,7,0,11478,4038.22
2/2,1,2026-07-28T23:00,11514,11530,16,пауза,False,4028.67,4007.445,25.480000000000018,-0.8330062794348467,0.7539246467817905,2,4,1,11512,4020.655
2/2,1,2026-07-30T10:00,11547,11572,25,пауза,False,4038.935,4055.25,87.72499999999991,0.18597891137076172,0.9297235679680824,4,4,2,11531,4072.145
2/2,-1,2026-07-31T15:00,11575,11584,9,рывок,True,4040.765,4063.755,15.519999999999982,-1.4813144329897077,1.2751288659793807,1,0,0,11569,4072.145
2/2,-1,2026-08-03T03:00,11586,11620,34,рывок,True,4057.35,4074.995,15.519999999999982,-1.1369201030927836,2.455541237113413,2,7,5,11569,4067.835
2/2,1,2026-08-04T16:00,11622,11670,48,рывок,False,4083.955,4233.82,27.34999999999991,5.479524680073136,8.056855575868417,5,8,2,11610,4247.24
2/2,1,2026-08-07T17:00,11692,11775,83,пауза,False,4341.605,4383.06,70.82499999999982,0.5853159195199569,1.5280621249558861,4,19,4,11678,4398.43
2/2,-1,2026-08-13T18:00,11785,11805,20,пауза,False,4365.145,4373.725,38.04500000000007,-0.22552240767511922,1.4221316861611346,5,4,2,11770,4364.45
2/2,1,2026-08-14T23:00,11813,11843,30,пауза,False,4376.82,4393.69,26.05500000000029,0.647476492036066,2.2801765496065705,3,8,2,11811,4398.205
2/2,-1,2026-08-18T12:00,11848,11872,24,пауза,False,4393.32,4367.41,17.549999999999272,1.4763532763533294,3.91111111111124,2,6,1,11840,4362.165
2/2,1,2026-08-19T15:00,11874,11896,22,рывок,True,4438.87,4467.175,26.98999999999978,1.0487217487958695,3.1667284179326027,4,5,2,11867,4478.075
2/2,1,2026-08-21T06:00,11911,11986,75,пауза,False,4535.57,4623.225,35.01500000000033,2.5033557046979817,4.613308582036223,5,20,3,11897,4629.615
2/2,-1,2026-08-26T21:00,11995,11999,4,рывок,True,4593.875,4623.7,41.215000000000146,-0.7236443042581515,0.23498726191921304,2,1,0,11979,4604.735
2/2,1,2026-08-27T07:00,12004,12013,9,пауза,False,4618.945,4572.515,59.02000000000044,-0.7866824805150633,0.14325652321246807,1,2,0,11997,4584.19
2/2,-1,2026-08-27T18:00,12015,12016,1,пауза,False,4610.505,4615.0,36.95499999999993,-0.12163442024083074,0.583547557840632,3,1,0,12002,4601.225
2/2,1,2026-08-28T07:00,12027,12038,11,пауза,False,4584.465,4524.61,42.965000000000146,-1.3931106714767898,1.105900151285913,2,1,1,12013,4571.66
2/2,-1,2026-08-31T05:00,12048,12065,17,пауза,False,4422.985,4453.415,36.340000000000146,-0.8373692900385297,0.7281232801320839,4,4,0,12037,4440.4
2/2,-1,2026-09-01T19:00,12085,12105,20,рывок,True,4351.42,4385.12,135.42999999999938,-0.24883703758399153,0.5079745994240595,4,5,1,12069,4331.645
2/2,1,2026-09-02T20:00,12109,12148,39,рывок,True,4377.08,4472.955,29.900000000000546,3.2065217391303764,4.476588628762472,5,9,2,12102,4470.55
2/2,-1,2026-09-04T20:00,12155,12182,27,пауза,False,4416.58,4426.255,83.43000000000029,-0.11596548004315173,0.4235886371808705,2,8,1,12145,4419.655
2/2,1,2026-09-08T07:00,12186,12188,2,рывок,True,4436.0,4405.64,16.524999999999636,-1.8372163388805047,0.4223903177004367,1,1,1,12179,4419.655
