тф,слой,счёт,точка,сторона,стоп,цель,сделок,EV,шум2s,EV_1половина,EV_2половина,n1,n2
1H,5/5,-1,5,SHORT,свеча,магнит,30,-0.2337,0.7615,-0.0672,-0.3051,9,21
1H,5/5,-1,5,SHORT,свеча,3R,31,-0.4839,0.4896,-0.5556,-0.4545,9,22
1H,5/5,-1,5,SHORT,свеча,2R,31,-0.3226,0.4580,0.3333,-0.5909,9,22
1H,5/5,-1,5,SHORT,колено,магнит,21,-0.3923,0.6666,0.8232,-1.0000,7,14
1H,5/5,-1,5,SHORT,колено,3R,26,-0.3846,0.5773,0.3333,-0.7647,9,17
1H,5/5,-1,5,SHORT,колено,2R,26,-0.3077,0.5056,0.6667,-0.8235,9,17
1H,5/5,-1,5,SHORT,уровень,магнит,19,-0.3283,0.7322,0.8232,-1.0000,7,12
1H,5/5,-1,5,SHORT,уровень,3R,24,-0.3333,0.6217,0.3333,-0.7333,9,15
1H,5/5,-1,5,SHORT,уровень,2R,24,-0.2500,0.5417,0.6667,-0.8000,9,15
1H,5/5,-1,0,SHORT,уровень,магнит,36,-0.0254,0.6171,-0.3183,0.3021,19,17
1H,5/5,1,0,SHORT,свеча,магнит,332,-0.2393,0.2087,-0.2837,-0.1980,160,172
1H,5/5,-1,2,LONG,колено,магнит,92,0.1782,0.4208,0.3403,0.0787,35,57
1H,5/5,1,0,SHORT,колено,магнит,179,-0.3252,0.2423,-0.0753,-0.5462,84,95
1H,5/5,1,3,LONG,свеча,магнит,98,-0.0063,0.4422,0.0465,-0.0442,41,57
1H,5/5,1,3,SHORT,колено,магнит,100,-0.3607,0.3271,-0.7095,-0.0866,44,56
1H,5/5,1,4,LONG,свеча,магнит,59,0.0504,0.5697,-0.2257,0.3173,29,30
1H,5/5,1,4,LONG,свеча,3R,98,0.0612,0.3586,-0.1818,0.2593,44,54
1H,5/5,1,4,LONG,свеча,2R,98,-0.1122,0.2781,-0.3182,0.0556,44,54
1H,5/5,1,4,LONG,колено,3R,94,0.4894,0.4010,0.1163,0.8039,43,51
1H,5/5,1,4,LONG,колено,2R,94,0.3085,0.3085,0.0465,0.5294,43,51
1H,5/5,1,4,LONG,уровень,3R,92,0.5217,0.4071,0.1429,0.8400,42,50
1H,5/5,1,4,LONG,уровень,2R,92,0.3370,0.3126,0.0714,0.5600,42,50
1H,5/5,1,4,SHORT,свеча,магнит,98,0.0771,0.4385,0.3746,-0.1654,44,54
1H,5/5,1,4,SHORT,свеча,3R,98,-0.0204,0.3493,0.1818,-0.1852,44,54
1H,5/5,1,4,SHORT,свеча,2R,98,0.0714,0.2919,0.1591,0.0000,44,54
1H,5/5,1,4,SHORT,колено,3R,76,-0.5263,0.2985,-0.2222,-0.8000,36,40
1H,5/5,1,4,SHORT,колено,2R,76,-0.2105,0.3051,0.1667,-0.5500,36,40
1H,5/5,-1,2,SHORT,уровень,магнит,101,0.0387,0.3748,0.1968,-0.2233,63,38
1H,5/5,1,0,SHORT,уровень,магнит,70,-0.2085,0.3999,-0.3341,-0.0084,43,27
1H,5/5,1,0,SHORT,уровень,3R,82,-0.1220,0.3679,-0.2308,0.0667,52,30
1H,5/5,1,0,SHORT,уровень,2R,82,-0.0488,0.3102,-0.1346,0.1000,52,30
1H,5/5,1,1,SHORT,уровень,магнит,48,-0.3945,0.4276,-0.4029,-0.3828,28,20
1H,5/5,1,2,SHORT,уровень,магнит,17,0.2761,0.9914,0.7542,-0.4070,10,7
1H,5/5,1,2,SHORT,уровень,3R,18,0.1111,0.8691,0.6000,-0.5000,10,8
1H,5/5,1,2,SHORT,уровень,2R,18,0.0000,0.6860,0.2000,-0.2500,10,8
1H,5/5,-1,4,SHORT,уровень,магнит,28,0.2731,0.7795,-0.3059,0.7074,12,16
1H,5/5,-1,2,LONG,уровень,магнит,16,0.8642,1.2499,-1.0000,1.1305,2,14
1H,5/5,1,3,LONG,колено,магнит,45,0.4253,0.6469,0.4219,0.4266,12,33
1H,5/5,1,3,LONG,уровень,магнит,35,0.4711,0.7545,0.8959,0.3241,9,26
1H,5/5,1,4,SHORT,колено,магнит,72,-0.6346,0.2881,-0.3611,-0.8793,34,38
1H,5/5,1,5,LONG,свеча,магнит,29,0.3840,0.7840,0.0001,0.6959,13,16
1H,5/5,1,5,LONG,свеча,3R,52,0.1538,0.5075,-0.0769,0.3846,26,26
1H,5/5,1,5,LONG,свеча,2R,52,0.1538,0.4087,0.0385,0.2692,26,26
1H,5/5,1,5,LONG,колено,магнит,15,1.1742,1.2485,-1.0000,3.0766,7,8
1H,5/5,1,5,LONG,колено,3R,47,0.7021,0.5832,-0.8333,2.3043,24,23
1H,5/5,1,5,LONG,колено,2R,47,0.3404,0.4398,-0.7500,1.4783,24,23
1H,5/5,1,5,LONG,уровень,магнит,12,1.7178,1.3938,-1.0000,3.6590,5,7
1H,5/5,1,5,LONG,уровень,3R,44,0.8182,0.6075,-0.8182,2.4545,22,22
